Spotify Celebrates LGBTQIA+ Creators and Fans With Our 2020 Pride Campaign	JUNE 3, 2020	https://newsroom.spotify.com/2020-06-03/spotify-celebrates-lgbtqia-creators-and-fans-with-our-2020-pride-campaign/
Spotify Stands With the Black Community in the Fight Against Racism and Injustice	JUNE 1, 2020	https://newsroom.spotify.com/2020-06-01/spotify-stands-with-the-black-community-in-the-fight-against-racism-and-injustice/
Spotify Supports Underrepresented Podcasters With ‘Sound Up,’ Now in the US, UK and Ireland, Germany, Australia, Sweden, and Brazil	JUNE 1, 2020	https://newsroom.spotify.com/2020-06-01/spotify-supports-underrepresented-podcasters-with-sound-up-now-in-the-us-uk-and-ireland-germany-australia-sweden-and-brazil/
Spotify Launches the Official ‘Normal People’ Soundtrack	MAY 28, 2020	https://newsroom.spotify.com/2020-05-28/spotify-launches-the-official-normal-people-soundtrack/
How We’re Answering Users’ Questions With New ‘Tips and Tricks’ Initiative	MAY 28, 2020	https://newsroom.spotify.com/2020-05-28/how-were-answering-users-questions-with-new-tips-tricks-initiative/
From Life Hacks to Light Humor, Check Out the Nine Indonesian Podcasts Coming Exclusively to Spotify	MAY 28, 2020	https://newsroom.spotify.com/2020-05-28/from-life-hacks-to-light-humor-check-out-the-nine-indonesian-podcasts-coming-exclusively-to-spotify/
Agnes Nunes Is Brazil’s New Go-To Collaborator	MAY 27, 2020	https://newsroom.spotify.com/2020-05-27/agnes-nunes-is-brazils-new-go-to-collaborator/
How At-Home Activities Are Inspiring New Playlists	MAY 27, 2020	https://newsroom.spotify.com/2020-05-27/how-at-home-activities-are-inspiring-new-playlists/
Meet Lous and the Yakuza, the Belgian Artist Who Can Sing in Any Language	MAY 22, 2020	https://newsroom.spotify.com/2020-05-22/meet-lous-and-the-yakuza-the-belgian-artist-who-can-sing-in-any-language/
Explore the Mysterious Life of a Former King in Spotify’s New Podcast, ‘XREY’	MAY 20, 2020	https://newsroom.spotify.com/2020-05-20/explore-the-mysterious-life-of-a-former-king-in-spotifys-new-podcast-xrey/
‘The Joe Rogan Experience’ Launches Exclusive Partnership with Spotify	MAY 19, 2020	https://newsroom.spotify.com/2020-05-19/the-joe-rogan-experience-launches-exclusive-partnership-with-spotify/
After 7 Years of Breaking Boundaries, Spotify’s Baila Reggaeton Playlist Hits 10 Million Followers	MAY 14, 2020	https://newsroom.spotify.com/2020-05-14/after-7-years-of-breaking-boundaries-spotifys-baila-reggaeton-playlist-hits-10-million-followers/
Spotify’s NYC-Focused Content Hub Gives the Concrete Jungle Its Spotlight	MAY 14, 2020	https://newsroom.spotify.com/2020-05-14/spotifys-nyc-focused-content-hub-gives-the-concrete-jungle-its-spotlight/
Spotify Premium Is Sweeter Than Ever With Our Newest Limited-Time Offer	MAY 14, 2020	https://newsroom.spotify.com/2020-05-14/spotify-premium-is-sweeter-than-ever-with-our-newest-limited-time-offer/
Spotify Kids Now Has Two New Features That Let You See and Customize What Your Children Listen To	MAY 12, 2020	https://newsroom.spotify.com/2020-05-12/spotify-kids-now-has-two-new-features-that-let-you-see-and-customize-what-your-children-listen-to/
Cold War Propaganda Meets Music Icons on New Investigative Podcast ‘Wind of Change’	MAY 12, 2020	https://newsroom.spotify.com/2020-05-12/cold-war-propaganda-meets-music-icons-on-new-investigative-podcast-wind-of-change/
It’s RapCaviar’s Fifth Anniversary—Celebrate by Testing Your Hip-Hop Knowledge	MAY 11, 2020	https://newsroom.spotify.com/2020-05-11/its-rapcaviars-fifth-anniversary-celebrate-by-testing-your-hip-hop-knowledge/
From Family Time to Me Time, Here’s How Moms Say They’re Using Music and Podcasts	MAY 8, 2020	https://newsroom.spotify.com/2020-05-08/from-family-time-to-me-time-heres-how-moms-say-theyre-using-music-and-podcasts/
What’s New This Week in Spotify Podcasts	MAY 7, 2020	https://newsroom.spotify.com/2020-05-07/whats-new-this-week-in-spotify-podcasts-11/
Audio Connects Us All in Spotify’s Newest Campaign, ‘Listening Together’	MAY 7, 2020	https://newsroom.spotify.com/2020-05-07/audio-connects-us-all-in-spotifys-newest-campaign-listening-together/
‘Mogul’s’ Brandon Jenkins Pivots Into Hip-Hop Nostalgia With ‘Mogul Mixtapes’ Podcast	MAY 6, 2020	https://newsroom.spotify.com/2020-05-06/moguls-brandon-jenkins-pivots-into-hip-hop-nostalgia-with-mogul-mixtapes-podcast/
Stars from the Wizarding World and Beyond Bring ‘Harry Potter and the Sorcerer’s/Philosopher’s Stone’ to Spotify	MAY 5, 2020	https://newsroom.spotify.com/2020-05-05/stars-from-the-wizarding-world-and-beyond-bring-harry-potter-and-the-sorcerers-philosophers-stone-to-spotify/
Australian Newcomer Merci, Mercy Discusses Her Big Break	MAY 4, 2020	https://newsroom.spotify.com/2020-05-04/australian-newcomer-merci-mercy-discusses-her-big-break/
Spotify Launches New Campaign to Celebrate Asian American & Pacific Islander Heritage Month	MAY 4, 2020	https://newsroom.spotify.com/2020-05-04/spotify-launches-new-campaign-to-celebrate-asian-american-pacific-islander-heritage-month/
A Close Look at India’s Love for International Pop	MAY 4, 2020	https://newsroom.spotify.com/2020-05-04/a-close-look-at-indias-love-for-international-pop/
What’s New This Week in Spotify Podcasts	MAY 1, 2020	https://newsroom.spotify.com/2020-05-01/whats-new-this-week-in-spotify-podcasts-10/
Spotify Reports First Quarter 2020 Earnings	APRIL 29, 2020	https://newsroom.spotify.com/2020-04-29/spotify-reports-first-quarter-2020-earnings/
‘This American Life’—Now Streaming on Spotify	APRIL 28, 2020	https://newsroom.spotify.com/2020-04-28/this-american-life-now-streaming-on-spotify/
Daily Wellness: A New Mix of Motivational Podcasts and Personalized Music	APRIL 27, 2020	https://newsroom.spotify.com/2020-04-27/daily-wellness-a-new-mix-of-motivational-podcasts-and-personalized-music/
Uncover the Best Artists of the Nordics on Oyster, Spotify’s New Playlist and Studio Program	APRIL 24, 2020	https://newsroom.spotify.com/2020-04-24/uncover-the-best-artists-of-the-nordics-on-oyster-spotifys-new-playlist-and-studio-program/
Beyoncé’s ‘Lemonade’ Gets a Fresh Take on Season 6 of Spotify’s ‘Dissect’ Podcast	APRIL 23, 2020	https://newsroom.spotify.com/2020-04-23/beyonces-lemonade-gets-a-fresh-take-on-season-6-of-spotifys-dissect-podcast/
What Gamers Are Streaming on Spotify	APRIL 23, 2020	https://newsroom.spotify.com/2020-04-23/what-gamers-are-streaming-on-spotify/
Spotify’s New Podcast Playlists Will Help You Discover Your Next Obsession	APRIL 21, 2020	https://newsroom.spotify.com/2020-04-21/spotifys-new-podcast-playlists-will-help-you-discover-your-next-obsession/
Meet Manal, the Moroccan Artist Changing the Game	APRIL 20, 2020	https://newsroom.spotify.com/2020-04-20/meet-manal-the-moroccan-artist-changing-the-game/
What’s New This Week in Spotify Podcasts	APRIL 17, 2020	https://newsroom.spotify.com/2020-04-17/whats-new-this-week-in-spotify-podcasts-9/
How to Stream Spotify From Your Xbox, PlayStation, or Discord	APRIL 16, 2020	https://newsroom.spotify.com/2020-04-16/how-to-stream-spotify-from-your-xbox-playstation-or-discord/
Comedian Rachel Feinstein Dishes on the Latest Season of ‘Amy Schumer Presents: 3 Girls, 1 Keith’	APRIL 15, 2020	https://newsroom.spotify.com/2020-04-15/comedian-rachel-feinstein-dishes-on-the-latest-season-of-amy-schumer-presents-3-girls-1-keith/
A New Wave of Gospel Washes Over Brazil	APRIL 15, 2020	https://newsroom.spotify.com/2020-04-15/a-new-wave-of-gospel-washes-over-brazil/
Spotify Listeners Are Getting Nostalgic: Behavioral Science Writer David DiSalvo and Cyndi Lauper Share Why	APRIL 14, 2020	https://newsroom.spotify.com/2020-04-14/spotify-listeners-are-getting-nostalgic-behavioral-science-writer-david-disalvo-and-cyndi-lauper-share-why/
From Egyptian Pop to Indian Bollywood, R3HAB Tastes the World’s Many Sonic Flavors	APRIL 7, 2020	https://newsroom.spotify.com/2020-04-07/from-egyptian-pop-to-indian-bollywood-r3hab-tastes-the-worlds-many-sonic-flavors/
How ‘Joker’ Composer Hildur Guðnadóttir Ventured From Iceland’s Underground to Hollywood’s Red Carpet	APRIL 6, 2020	https://newsroom.spotify.com/2020-04-06/how-joker-composer-hildur-gudnadottir-ventured-from-icelands-underground-to-hollywoods-red-carpet/
What’s New This Week in Spotify Podcasts	APRIL 3, 2020	https://newsroom.spotify.com/2020-04-03/whats-new-this-week-in-spotify-podcasts-8/
Want to Start a Podcast? Hear How From Anchor Podcasters	APRIL 2, 2020	https://newsroom.spotify.com/2020-04-02/want-to-start-a-podcast-hear-how-from-anchor-podcasters/
Swedish Pop Star Tove Lo Kicks Off New Nordic Spotify Studio Program With Veronica Maggio Cover	APRIL 1, 2020	https://newsroom.spotify.com/2020-04-01/swedish-pop-star-tove-lo-kicks-off-new-nordic-spotify-studio-program-with-veronica-maggio-cover/
Country’s Storied Roots Meets Contemporary Talent in Spotify’s Latest Playlist, Indigo	MARCH 31, 2020	https://newsroom.spotify.com/2020-03-31/countrys-storied-roots-meets-contemporary-talent-in-spotifys-latest-playlist-indigo/
Spotify Kids Is Now Available in the U.S., Canada, and France	MARCH 31, 2020	https://newsroom.spotify.com/2020-03-31/spotify-kids-is-now-available-in-the-u-s-canada-and-france/
Meet Alaina Castillo — Bilingual Singer-Songwriter and Featured U.S. RADAR Artist	MARCH 30, 2020	https://newsroom.spotify.com/2020-03-30/meet-alaina-castillo-bilingual-singer-songwriter-and-featured-u-s-radar-artist/
How Social Distancing Has Shifted Spotify Streaming	MARCH 30, 2020	https://newsroom.spotify.com/2020-03-30/how-social-distancing-has-shifted-spotify-streaming/
What’s New This Week in Spotify Podcasts	MARCH 27, 2020	https://newsroom.spotify.com/2020-03-27/whats-new-this-week-in-spotify-podcasts-7/
Here’s What Parents Around the World Have Been Playing for Their Kids at Home	MARCH 27, 2020	https://newsroom.spotify.com/2020-03-27/heres-what-parents-around-the-world-have-been-playing-for-their-kids-at-home/
How Spotify Is Addressing COVID-19, On-Platform and Off	MARCH 25, 2020	https://newsroom.spotify.com/2020-03-25/how-spotify-is-addressing-covid-19-on-platform-and-off/
